Σχολείο/Δομή,Περιοχή,Διεύθυνση,Αναστολή έως και,Παρατηρήσεις:
ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΚΟΡΥΦΗΣ ΗΜΑΘΙΑΣ,ΑΛΕΞΑΝΔΡΕΙΑΣ,ΙΩΝΟΣ ΔΡΑΓΟΥΜΗ,30-10-2020,Αναστέλλουν τη λειτουργία τους τα τμήματα Γ1 και Γ2
ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΣΑΡΑΝΤΑΠΟΡΟΥ,ΕΛΑΣΣΟΝΑΣ,Σαραντάπορο,28-10-2020,
ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΕΥΑΓΓΕΛΙΣΜΟY-EΛΑΣΣΟΝΑΣ,ΕΛΑΣΣΟΝΑΣ,ΕΥΑΓΓΕΛΙΣΜΟΣ- ΕΛΑΣΣΟΝΑΣ,28-10-2020,ΑΝΑΣΤΟΛΗ ΛΕΙΤΟΥΡΓΙΑΣ Ε' ΤΑΞΗΣ
10ο ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΛΑΡΙΣΑΣ,ΛΑΡΙΣΑΙΩΝ,ΑΙΟΛΟΥ 2,01-11-2020,Αναστέλλει τη λειτουργία του το τμήμα ΣΤ2
2ο ΓΥΜΝΑΣΙΟ ΛΑΡΙΣΑΣ,ΛΑΡΙΣΑΙΩΝ,ΗΡΩΩΝ ΠΟΛΥΤΕΧΝΕΙΟΥ 189,29-10-2020,Αναστέλλει τη λειτουργία του το τμήμα Β6
1ο ΓΥΜΝΑΣΙΟ ΕΛΑΣΣΟΝΑΣ,ΕΛΑΣΣΟΝΑΣ,ΤΕΡΜΑ 1ης ΜΕΡΑΡΧΙΑΣ,29-10-2020,Αναστέλλουν τη λειτουργία τους τα τμήματα Γ2 και Γ3
1ο ΓΕΝΙΚΟ ΛΥΚΕΙΟ ΕΛΑΣΣΟΝΑΣ,ΕΛΑΣΣΟΝΑΣ,1ης  ΜΕΡΑΡΧΙΑΣ  ΤΕΡΜΑ,30-10-2020,"Αναστέλλει τη λειτουργία του το τμήμα Α2 έως και 29-10-2020 και τα τμήματα Α3, Β3, Β Ανθρωπιστικών & Β Γαλλικών έως και 30-10-2020"
ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΠΛΑΤΑΝΟΡΡΕΥΜΑΤΟΣ,ΣΕΡΒΙΩΝ-ΒΕΛΒΕΝΤΟΥ,ΠΛΑΤΑΝΟΡΡΕΥΜΑ,29-10-2020,ΑΝΑΣΤΟΛΗ ΛΕΙΤΟΥΡΓΙΑΣ ΣΤ' ΤΑΞΗΣ
ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΜΑΥΡΟΔΕΝΔΡΙΟΥ,ΚΟΖΑΝΗΣ,ΜΑΥΡΟΔΕΝΔΡΙ,28-10-2020,ΑΝΑΣΤΟΛΗ ΛΕΙΤΟΥΡΓΙΑΣ Ε' και ΣΤ' ΤΑΞΗΣ
3ο ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΓΑΣΤΟΥΝΗΣ,ΠΗΝΕΙΟΥ,ΚΑΡΑΪΣΚΟΥ 9,01-11-2020,ΑΝΑΣΤΟΛΗ ΛΕΙΤΟΥΡΓΙΑΣ Ε' ΤΑΞΗΣ
